,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
0,Marquinhos,PSG,"RCB, LCB",29,70000000,2028-06-30,45,4117,2,1.22,Brazil,"Brazil, Portugal",direito,183,75,sim
1,Éder Militão,Real Madrid,RCB,25,70000000,2025-06-30,42,3855,6,4.88,Brazil,"Brazil, Spain",direito,186,78,sim
2,Gabriel Magalhaes,Arsenal,LCB,25,50000000,2027-06-30,51,4674,3,4.52,Brazil,Brazil,esquerdo,190,87,sim
3,Bremer,Juventus,"CB, RCB",26,40000000,2027-06-30,42,4022,4,7.26,Brazil,Brazil,direito,188,82,sim
4,Diego Carlos,Aston Villa,RCB,30,30000000,2026-06-30,11,652,0,1.36,Brazil,"Brazil, Spain",direito,185,79,sim
5,Ibañez,Al Ahli,"LCB, RCB",24,30000000,2025-06-30,46,4434,4,5.25,Brazil,"Brazil, Italy",direito,185,73,sim
6,Morato,Benfica,LCB,22,15000000,2027-06-30,19,1386,0,0.89,Brazil,Brazil,esquerdo,192,88,sim
7,Luiz Felipe,Al Ittihad,"LCB, RCB",26,15000000,2027-06-30,33,3220,0,0.64,Brazil,"Brazil, Italy",direito,187,80,sim
8,Tuta,Eintracht Frankfurt,RCB,24,15000000,2026-06-30,38,3485,2,1.52,Brazil,Brazil,direito,185,75,sim
9,André,Fluminense,"RDMF, LCB, LDMF",22,14000000,2026-12-31,57,5481,1,1.19,Brazil,Brazil,direito,176,77,sim
10,Alex Telles,Al Nassr,"LB, LCB",30,12000000,2024-06-30,33,2237,0,0.45,Brazil,"Brazil, Italy",esquerdo,181,0,sim
11,Danilo,Juventus,"LCB, RCB",32,12000000,2025-06-30,51,4836,4,3.34,Brazil,Brazil,direito,184,78,sim
12,Igor Julio,Brighton,LCB,25,11000000,2024-06-30,35,2927,0,0.83,Brazil,Brazil,esquerdo,185,84,sim
13,Marcão,Sevilla,"LCB, CB",27,10000000,2027-06-30,5,202,0,0.18,Brazil,Brazil,esquerdo,185,81,sim
14,Rodrigo Becão,Fenerbahçe,RCB,27,10000000,2024-06-30,32,3004,2,1.74,Brazil,Brazil,direito,191,79,sim
15,Murilo,Palmeiras,LCB,26,8500000,2026-12-31,45,4302,5,5.01,Brazil,Brazil,direito,188,78,sim
